model number,number layers, number nodes, mean error, mean enzyme error, score
78.2, 22, 309, 0.21517862766147516, 0.37180027817707156, 0.5869789058385467
79.2, 22, 281, 0.17208433838083434, 0.31104109453446876, 0.4831254329153031
80.2, 18, 268, 0.18100502977874192, 0.37347897711887956, 0.5544840068976215
81.2, 18, 270, 0.21049569655202813, 0.32588105560976166, 0.5363767521617898
82.2, 20, 259, 0.19864084722341932, 0.34234846285443987, 0.5409893100778592
83.2, 18, 308, 0.17862641774029572, 0.2912121306983879, 0.46983854843868367
84.2, 20, 300, 0.22400301851238413, 0.3518718672004785, 0.5758748857128626
70.3, 18, 309, 0.21809340747839795, 0.38409672382460575, 0.6021901313030037
71.3, 18, 277, 0.1893230088025428, 0.33724222823748234, 0.5265652370400251
72.3, 22, 263, 0.18979261540753825, 0.2863292380228596, 0.4761218534303978
73.3, 18, 263, 0.22679717575506336, 0.3572417476732236, 0.584038923428287
74.3, 24, 261, 0.20965865227634692, 0.3883724410883217, 0.5980310933646686
75.3, 24, 318, 0.1698229363470575, 0.26690306133690483, 0.43672599768396236
76.3, 26, 264, 0.17710476515828005, 0.3244643109143538, 0.5015690760726339
79.3, 22, 281, 0.18087244580181494, 0.30208758511687245, 0.4829600309186874
82.3, 20, 259, 0.19425102960257112, 0.34521930923522764, 0.5394703388377988
83.3, 18, 308, 0.17890037216060867, 0.28143002765112124, 0.4603303998117299
84.3, 20, 300, 0.21552897487554615, 0.35717980984076775, 0.5727087847163139
71.4, 18, 277, 0.1845424011681262, 0.32377908271744965, 0.5083214838855759
72.4, 22, 263, 0.1862856579395711, 0.2894049365928585, 0.47569059453242957
73.4, 18, 263, 0.2286985633127415, 0.35499181496905535, 0.5836903782817968
74.4, 24, 261, 0.21010241084450199, 0.3879031446274537, 0.5980055554719557
75.4, 24, 318, 0.14924500270005206, 0.2401038516334721, 0.3893488543335242
79.4, 22, 281, 0.17007261150231257, 0.2826742432811238, 0.45274685478343635
82.4, 20, 259, 0.19408286470695538, 0.34535209954018503, 0.5394349642471404
